,stab_1,stab_1,Data,Data,Data,num
,0,1,0,1,2,simulation num
0,1,0,0,1,1,456
1,0,0,1,1,1,44491
2,0,0,0,1,1,511
3,0,0,1,1,0,1458
4,1,0,1,1,1,438
5,0,1,1,1,1,981
6,0,1,1,1,0,557
7,0,1,1,0,1,67
8,0,0,1,0,1,351
9,0,1,0,0,0,1
10,1,1,1,0,1,274
11,0,1,0,1,0,10
12,0,1,0,1,1,15
13,0,0,1,0,0,15
14,0,1,1,0,0,144
15,0,1,0,0,1,4
16,1,0,1,0,1,93
17,1,1,0,1,1,11
18,1,0,1,1,0,10
19,1,0,1,0,0,7
20,1,1,1,1,1,15
21,0,0,0,1,0,21
22,1,1,1,1,0,14
23,1,1,0,1,0,6
24,1,1,1,0,0,15
25,0,0,0,0,1,3
26,1,1,0,0,0,1
27,1,0,0,1,0,14
28,1,1,0,0,1,7
29,1,0,0,0,1,10
